Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
68a46c14bcad68254b9e774b,761/25 - COLGATE- FERIA DE PROVEEDORES.,https://trello.com/c/Y2LiASpR/1246-761-25-colgate-feria-de-proveedores,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 761-25](https://drive.google.com/drive/folders/1yg5e0f7DzvN1wS55mcmbcLoem39G3QOZ?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto: MARCELLO CAPUTO
- Teléfono de contacto: 58 424-2736468
- Dirección: [https://maps.app.goo.gl/YV7ycdLEZmLRNtCeA](https://maps.app.goo.gl/YV7ycdLEZmLRNtCeA ""smartCard-inline"") Calle Hans Neumann, Edificio Corimon, Piso 2. Los Cortijos de",ANDREA (pink),,,0,,9,0,0,0,2025-09-19T15:12:46.356Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68b85b2f282463843b6cf42f,843/25 - YOLO - ROLLO DE CENEFA / RETIRAR ROLLO,https://trello.com/c/w7cOZwrD/1344-843-25-yolo-rollo-de-cenefa-retirar-rollo,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 843-25](https://drive.google.com/drive/folders/1x8xpXTFsophSvbCk9RGs_NPVmqvrmX1j?usp=sharing ""‌"")

- Persona de contacto: Genesis Galea Compras Yolo
- Teléfono de contacto: +58 414-9012941
- Dirección: Dirección: Nuestra direccion es: Torre Loma Linda, piso 6 (referencia al lado del CC Express Macaracuay",ANDREA (pink),,2025-10-09T14:11:00.000Z,1,https://trello.com/1/cards/68b85b2f282463843b6cf42f/attachments/68e5488ace921c6857de3648/download/image.png,9,1,0,0,2025-10-09T13:17:24.466Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,'-1
68b85b377c5528be8bc5491c,844/25 - MERCANTIL SEGUROS - REVESTIMIENTO COLEGIO,https://trello.com/c/sALhcS95/1345-844-25-mercantil-seguros-revestimiento-colegio,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 844-25](https://drive.google.com/drive/folders/1bMWOHyhu-jaN9aiOqrmYJ9TbbnjP5EBT?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto: SABRINA TADDEO
- Teléfono de contacto: 0424-1543166
- Dirección:",LORENA (pink_light),,,0,,9,0,0,0,2025-10-07T17:18:45.720Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68b85b5b66d20061dc027c07,848/25 - SCJ - BANDEJAS PATO - ESTILO GLADE CARS.,https://trello.com/c/9RfwXvlm/1349-848-25-scj-bandejas-pato-estilo-glade-cars,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 848-25](https://drive.google.com/drive/folders/1kbihjYm3dlTqSWnJI9Ohua2Tcp-Hmccz?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:","ARTES (green_light), ENMARY (blue_dark)",,,0,,9,0,0,0,2025-10-08T15:08:19.787Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68b85b64957fa8a0a5b2c1b2,849/25 - COLGATE - CABEZALES LW FALCON,https://trello.com/c/C5aRzBVT/1350-849-25-colgate-cabezales-lw-falcon,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 849-25](https://drive.google.com/drive/folders/17QA9wkj9DELFYs_V5HPsR7POct4y130S?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto: MARCELLO CAPUTO
- Teléfono de contacto: 58 424-2736468
- Dirección: [https://maps.app.goo.gl/YV7ycdLEZmLRNtCeA](https://maps.app.goo.gl/YV7ycdLEZmLRNtCeA ""smartCard-inline"") Calle Hans Neumann, Edificio Corimon, Piso 2. Los Cortijos de","ANDREA (pink), ARTES (green_light), VIRLEY (yellow_dark)",,,1,https://trello.com/1/cards/68b85b64957fa8a0a5b2c1b2/attachments/68e69f413f5c0349a194c455/download/imagen_2025-10-03_150557803.png,9,3,0,0,2025-10-08T17:40:19.279Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68b85b6d02fe68bbcb80fd75,850/25 - ALIMENTOS MARY - CABEZALES 2DO LOTE REGION CAPITAL - OCMTT-51 - OCS-25578 - NRO DE PEDIDO 1000028478,https://trello.com/c/VY5d7JNq/1351-850-25-alimentos-mary-cabezales-2do-lote-region-capital-ocmtt-51-ocs-25578-nro-de-pedido-1000028478,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 850-25](https://drive.google.com/drive/folders/1qNlM4td3NGsOZVBlC9sOJq_1pnOujgbz?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:",MILKA (red_dark),,,1,https://trello.com/1/cards/68b85b6d02fe68bbcb80fd75/attachments/68e7bed334e0ab4ffa233bc6/download/image.png,9,0,0,0,2025-10-09T18:20:55.035Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68cb1385e9b55cb69485f89e,857/25 - ALFONZO RIVAS - MANTENIMIENTO EXHIBIDOR FLIPS FARMATODO MELANIE.,https://trello.com/c/TW8tDa0m/1377-857-25-alfonzo-rivas-mantenimiento-exhibidor-flips-farmatodo-melanie,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 857-25](https://drive.google.com/drive/folders/18bzik3dXjHP8Roj7nJAIboOYnF1bmWMZ?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:","ARTES (green_light), ENMARY (blue_dark), MUESTRA APROBADA (green_light), YARELLY (pink_dark)",,,0,,9,0,0,0,2025-10-10T16:07:25.678Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68cb138f924b939303d57fc3,858/25 - SANTA TERESA - EXHIBIDORES DE PISO LINAJE CAMPAÑA SERVANDO Y FLORENTINO Y ALWAYS ON - RENDIMIENTO.,https://trello.com/c/qqBk2r6D/1378-858-25-santa-teresa-exhibidores-de-piso-linaje-campa%C3%B1a-servando-y-florentino-y-always-on-rendimiento,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 858-25](https://drive.google.com/drive/folders/1ZpbwTEqTzJj4WvKU-p6wGwSFZn4jBNGb?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:",ENMARY (blue_dark),,,0,,9,0,0,0,2025-10-10T17:14:41.851Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68cb13b358d4cf0448a1e3d1,859/25 -,https://trello.com/c/b7YRsCzv/1379-859-25,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 859-25](https://drive.google.com/drive/folders/1ZzTEg-GQZX_7AS8QuiMefw0cXiyAsaEn?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:",,,,0,,9,0,0,0,2025-09-18T14:07:26.352Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
68cb13c695b5e25a2d5ba04d,860/25 -,https://trello.com/c/86tNIRIm/1380-860-25,"\-Rendimiento:                                                                                                                -Visual:                                                                                                                                  -Video:                                                                                                                              -Fotomontaje:                                                                                                                     -Arte:                                                                                                                              -Plano:

[Yar-Yur Proyecto 860-25](https://drive.google.com/drive/folders/1Px8a0PFuwUWHCC73_bMLBwzTNxurJpoT?usp=sharing ""‌"")

**INFO DE CONTACTO:**

- Persona de contacto:
- Teléfono de contacto:
- Dirección:",,,,0,,9,0,0,0,2025-09-18T14:08:12.696Z,678dc99ee0682f50e7b19515,VENTAS,678d43ff3efb50fb6ee04407,Proyectos Inversiones Yar-Yur 2025,false,,false,
